;type;lon;lat;name;population
0;node;134.726645;45.0819456;Приморский край;
1;node;128.437295;52.8032368;Амурская область;
2;node;82.0475315;58.6124279;Томская область;
3;node;74.3415488;67.1471631;Ямало-Ненецкий автономный округ;
4;node;68.6418156;61.8793428;Ханты-Мансийский автономный округ — Югра;
5;node;70.3658837;58.8206488;Тюменская область;
6;node;73.5099936;56.0935263;Омская область;
7;node;79.4813924;54.9720169;Новосибирская область;
8;node;87.342861;54.5335781;Кемеровская область;
9;node;82.6931424;52.6932243;Алтайский край;
10;node;86.8572186;50.7114101;Республика Алтай;
11;node;90.0664303;53.4399379;Республика Хакасия;
12;node;93.8582593;51.4017149;Республика Тыва;
13;node;97.0979974;63.3233807;Красноярский край;
14;node;104.719221;56.6370122;Иркутская область;
15;node;109.492143;52.7182426;Бурятия;
16;node;115.956325;52.248521;Забайкальский край;
17;node;129.642371;66.941626;Республика Саха (Якутия);
18;node;40.5705246;54.4226732;Рязанская область;
19;node;132.2775662;48.5601613;Еврейская автономная область;
20;node;136.121524;51.6312684;Хабаровский край;
21;node;143.448533;49.7219665;Сахалинская область;490181
22;node;160.0383819;57.1914882;Камчатский край;319864
23;node;154.014726;63.5515028;Магаданская область;
24;node;169.4900869;66.0006475;Чукотский автономный округ;
25;node;21.1489473;54.7293041;Калининградская область;937000
26;node;32.5169757;58.2843833;Новгородская область;
27;node;50.8914633;53.2128813;Самарская область;
28;node;33.9999151;68.0000418;Мурманская область;
29;node;61.8021546;58.6414755;Свердловская область;
30;node;56.3159546;58.5951603;Пермский край;
31;node;54.3326073;63.9881421;Коми;
32;node;33.4920267;62.6194031;Республика Карелия;
33;node;50.4763591;55.448217;Татарстан;
34;node;55.9784582;54.4747553;Башкортостан;
35;node;52.6959832;57.1961165;Удмуртия;
36;node;43.1215213;60.0391461;Вологодская область;
37;node;47.2324921;54.1463177;Ульяновская область;
38;node;47.0849429;55.4259922;Чувашия;
39;node;54.7276647;52.0269262;Оренбургская область;
40;node;47.8817512;56.5767504;Марий Эл;
41;node;57.0626853;67.6783253;Ненецкий автономный округ;
42;node;32.3925325;60.1853296;Ленинградская область;
43;node;28.8586826;57.5358729;Псковская область;
44;node;35.1744428;57.1134475;Тверская область;
45;node;64.5632681;55.7655302;Курганская область;
46;node;39.1122664;52.6935178;Липецкая область;
47;node;40.1506507;50.9800393;Воронежская область;2328959
48;node;41.3578918;52.9019574;Тамбовская область;
49;node;38.0353929;55.5043158;Московская область;
50;node;33.0031985;45.5359172;Автономна Республіка Крим;
51;node;40.7957942;47.6222451;Ростовская область;
52;node;44.7879181;53.1655415;Пензенская область;
53;node;44.2533273;58.424756;Костромская область;
54;node;39.0021095;57.7781976;Ярославская область;
55;node;33.0192065;55.0343496;Смоленская область;
56;node;36.4251709;52.8392765;Орловская область;
57;node;33.415853;52.8873315;Брянская область;
58;node;44.2903582;49.6048339;Волгоградская область;
59;node;47.608851;47.1878186;Астраханская область;
60;node;45.3275745;46.2313018;Республика Калмыкия;
61;node;37.5837615;50.7080119;Белгородская область;
62;node;36.4852695;51.6568453;Курская область;
63;node;35.5272854;54.4382773;Калужская область;
64;node;37.3690909;53.9570701;Тульская область;
65;node;40.6561633;56.0503336;Владимирская область;
66;node;44.0911594;55.4718033;Нижегородская область;
67;node;46.8631952;51.6520555;Саратовская область;
68;node;43.4406913;44.8632577;Ставропольский край;
69;node;40.1520421;44.6939006;Адыгея;
70;node;41.7267991;43.7368326;Карачаево-Черкесия;
71;node;45.6985005;43.3976147;Чечня;
72;node;44.979682;43.1655309;Ингушетия;
73;node;44.2636348;42.9920711;Северная Осетия — Алания;
74;node;43.4204809;43.4428286;Кабардино-Балкария;
75;node;49.4074599;57.9665589;Кировская область;
76;node;61.1865846;54.4223954;Челябинская область;3466369
77;node;41.4352137;56.9167446;Ивановская область;
78;node;30.1586551;59.9606739;Санкт-Петербург;
79;node;37.3273304;55.4792046;Москва;
80;node;34.7401104;45.1890034;Республика Крым;
81;node;39.0261044;45.7684014;Краснодарский край;
82;node;33.4720239;44.5547288;Севастополь;402135
83;node;44.4661144;54.4419829;Мордовия;
84;node;43.1221646;63.5589686;Архангельская область;
